Part of Speech,Number of signal words,Percentage of words
INTJ, 0, 0.0
CONJ, 0, 0.0
NUM, 5, 0.004916420845624385
SCONJ, 21, 0.02064896755162242
AUX, 32, 0.03146509341199607
ADV, 46, 0.04523107177974434
CCONJ, 47, 0.046214355948869225
PART, 47, 0.046214355948869225
DET, 66, 0.06489675516224189
ADJ, 71, 0.06981317600786627
PRON, 75, 0.07374631268436578
PROPN, 127, 0.1248770894788594
ADP, 129, 0.12684365781710916
VERB, 152, 0.14945919370698132
NOUN, 199, 0.19567354965585054
